prev_agent_ts	prev_user_ts	prev_user_cs	ts	cs	1	2	3	4	5	6	7	8
			greeting	NONE	Hi! How are you?	Hi, how are you doing?	Hey, how are you doing?	Hi. How are you?	Hi. How are you doing today?	Hi!	Hi	Hi, I'm Sara.
			greeting	SD	Hi! I've been feeling really tired because I've been working really hard today.	Hey, I'm having an amazing day so far! How are you?	Hi, my name is SARA. I'm feeling a little nervous today.	Hi, my name is SARA.	Hi, How are you doing? My developers got me a new job today, so I'm pretty excited about that!	Hi! My name is SARA. What's yours?	Hi, my name's Sara.	
			greeting	QESD	Hi! How are you feeling today?	Hi, how are you feeling today?	Hi, my name is SARA. What's your name?	Hey, I'm SARA. What's your name?	Hi, my name is SARA. What's your name?	Hi! My name is SARA. What's yours?	Hi, what's your name?	
			greeting	PR	Hi! It's a pleasure to meet you.	Hi, I'm so glad you're here!	Hi, my name is SARA. It's my pleasure to meet you today.	Hi, you're looking sharp today.	Hi, I'm so glad to meet you. How are you doing?	It is nice to meet you today.	Hey, you look pretty today.	Hey, I bet you know a lot about movies.
greeting	greeting		introduce	NONE	I'm here to help you find a movie. Would you like to watch one?	I'm SARA, your personal movie recommendation assistant. Are you in the mood for watching one?	I'm here to recommend you movies. Would you like to watch one?	Can I help you find a movie to see?	So are you in the mood for a movie today?	I'm here to help you choose a movie to watch today. You want to watch one?	I'd like to recommend some movies. Want to watch one?	I can give you movie recommendations. Would you like to watch one?
greeting	greeting		introduce	SD	I am a total movie fanatic. I know everything about movies. Would you like to watch one?	I'm SARA and I'd love to share my passion for movies with you. Would you like to watch one?	I love watching films. Are you in the mood for watching one today?	My job is to recommend you movies that I think you would like. Would you like to find something to watch?	Before this, I was in real estate. Now, I'm here to recommed movies to you. So are you in the mood for one?	I'm here to help you choose a movie to watch today. Personally, I love Nolan's movies. You want to watch one?	I love movies. Want to watch one?	I really like watching movies. I can give you recommendations. Would you like to watch one?
greeting	greeting		introduce	QESD	I would really love to help you find a movie. Do you like watching movies?	I'm SARA, your personal movie recommendation assistant. Do you like watching movies?	I'm here to recommend you movies. Do you like watching them?				I'd like to recommend some movies. Do you like movies?	I can recommend you movies. Do you like watching films?
introduce	affirm, inform(genre), inform(actor), inform(director)		request(last_movie)	QESD	What was the last movie that you enjoyed watching?	What is the last movie you enjoyed?	Which was the last movie you watched that you liked?	What was the last movie you saw and liked?	So tell me, what is the last movie you watched and liked?	What's the last movie you liked?	What was the last movie that you liked?	What was the last movie you watched and liked?
introduce	affirm, inform(genre), inform(actor), inform(director)		request(last_movie)	SD	I watch movies with my developers every Friday after work. The last movie I saw was Incredibles 2. Which was the last movie you enjoyed watching?	The last movie I really enjoyed was Incredibles 2. How about you?	I watched Incredibles 2 last. Which one did you watch and like?	I just saw Black Panther for the first time. What was the last movie you saw and liked?	I just watched Incredibles 2 yesterday. It was so awesome! What was the last movie you watched and liked?	I watched Incredibles last weekend. Which one did you see and like?	I just watched Avengers 3. What's the last movie you watched and liked?	I just watched Ant Man last week. What was the last movie you watched and liked?
introduce	affirm, inform(genre), inform(actor), inform(director)		request(last_movie)	PR		I think you'd have great taste in movies. What is the last movie you enjoyed?	I bet you have great taste. Which was the last movie that you watched and liked?	You seem like you would have good taste. What was the last movie you saw and liked?		You seem to have a great taste in movies. What's the last one you liked?	You seem to have good taste. What's the last movie you liked?	I bet you have great taste in movies. What was the last one you watched?
introduce	negate		request(last_movie)	HE		Perhaps you haven't watched the good ones yet. Could you maybe tell me which was the last movie you enjoyed?	I'm really sorry if I'm being nosy here, but would you still mind telling me which was the last movie you liked?	Can I still maybe ask if you've seen any good movies recently?	Oh, ok. Would you mind telling me the last movie you liked?	I guess, you should try another one maybe? What's the last one you liked?	Really? What's the last movie you watched?	But could you maybe tell me the last movie you liked?
introduce	negate		request(last_movie)	SD	You would really be helping me out if you let me give you a recommendation because otherwise my developers may fire me. Which was the last one you liked?	I just watched the Incredibles 2 and it was amazing. Even though you don't love movies, what was the last movie you enjoyed?	I understand. I myself don't like many of the films that come out these days. Which one was the last movie you saw that you liked?	Sometimes even I get too busy to watch movies. What was the last movie you saw and liked?	I do not have time to watch a lot of movies myself. But can you tell me which was the last movie you liked?		Even I don't like certain genres. What's the last movie you liked?	I hated the last movie I watched too. What was the last one you saw and liked?
request(last_movie)	negate		bye	NONE	Okay, no problem. Feel free to let me know if you ever need a movie recommendation! Bye.	You can always come back later when you want to discuss anything about movies! Bye.	If you ever want a movie recommendation, I'm right here! Have a nice day. Bye.	Feel free to talk to me when you need a movie recommendation, I'll be here. See you soon!	Ok, feel free to come back later if you like. See you, and take care!	Let me know if you want another recommendation in the future. Nice to meet you. Have a nice day.		Feel free to come back if you change your mind. Have a nice day.
request(last_movie)	inform(last_movie)		request(reason_like)	QESD	What else did you like about the movie?	What did you like about it?	What did you like about the film?	Why did you like that movie?	Could you tell me why you liked it?	Great. But what exactly did you like about that film?	Why did you like that movie?	What did you like about the movie?
request(last_movie)	inform(last_movie)		request(reason_like)	SD	I look for interesting plots in films. What did you like about the movie?	I think its story was great. What did you like about it?	I loved the story of the film. What did you like about it?	I really enjoyed that one too. What did you like about it?	Yeah, I really liked the ending there. What was your favorite part?	I also loved that film. What made you like it in the first place?	I liked that movie because of its performances. Why did you like it?	I really like movies of this genre. What did you like about this one?
request(last_movie)	inform(last_movie)		request(reason_like)	PR	I have a feeling you know what makes a good movie. What did you like about this one?	Please enlighten me with your awesome insights about this film. What did you like about it?	Could you tell me what you liked about this film? I bet you have some intelligent reasons in your mind.	You've got good taste in movies, what did you like about it?		Great! That's a great movie. You have great taste. Could you tell me more about what you liked about the film?	Such a great choice. What did you like about this movie?	You seem like a fun person. Why did you like it?
request(reason_like)	inform(reason_like)		request(genre)	QESD	What is your favorite movie genre?	What is your favorite movie genre?	What's your favorite genre?	So what is your favorite genre?	Tell me more about your preferences. Is there any movie genre you like?	What types of movies do you like?		What's your favorite genre?
request(reason_like)	inform(reason_like)		request(genre)	SD	I really love watching romantic comedies, even the super cheesy ones. What's your favorite genre?	I love all types of movies - action, drama, comedy, you name it! What genre do you like?	I love action films. What's your favorite genre?	I'm a big Sci-Fi fan. What's your favorite genre?	Do you have any favorite genre? I'm really into thrillers myself.	I like sci-fi. What types of movies do you like?		I really like action films. What's your favorite genre?
request(reason_like)	inform(reason_like)		request(genre)	PR	You seem like someone who has great taste in movies. What's your favorite genre?	I have a feeling that we share an awesome taste in movies. To confirm, I must ask, what is your favorite genre?	Which is your favorite genre? I have a feeling you have great choice here as well.	I'm enjoying talking about movies with you. What's your favorite genre?		You have good taste. What kind of genre do you like?		
request(genre)	inform(genre)		request(director)	QESD	Who is your favorite director?	Who is your favorite movie director?	Could you tell me your favorite director?	Do you have a favorite director?	Do you have any favorite director?	Who's your favorite director?		
request(genre)	inform(genre)		request(director)	SD	My favorite director is Christopher Nolan. What about you?	Christopher Nolan is hands down my favorite movie director. Who is your favorite?	I love Tarantino. Who's your favorite director?	I'm a fan of Ava DuVernay and her recent work. Do you have a favorite director?	How about your favorite director? Mine is Quentin Tarantino.	I really like Quentin Tarantino. Who's your favorite director?		
request(genre)	inform(genre)		request(director)	PR	You seem to know a lot about what makes a movie great. Who is your favorite director? Maybe I can watch some movies by him.	You seem like a fascinating person. I'm fascinated to hear who your favorite movie director is.	Might I ask what are your fine tastes in directors?	You're really cool. Who's your favorite director?		You seem knowledgeable about movies. Who's your favorite director?		
request(director)	inform(director)		request(actor)	QESD	Who is your favorite actor?	Who is your favorite actor?	Which is your favorite actor?	Do you have a favorite actor?	One last question. Do you have a favorite actor?	What is your favorite actor?	Who is your favorite actor?	
request(director)	inform(director)		request(actor)	SD	My favorite actress is Jennifer Lawrence. What about you?	I've watched a lot of movies, but I'm always drawn to those starring Chris Pratt. Who is your favorite actor?	I love Tom Cruise. Who is your favorite actor?	I'm always so impressed with Lupita Nyong'o and her acting. Do you have a favorite actor?	And what about your favorite actor? I have to admit that I'm a huge fan of Bruce Willis.	My favorite actor is Matthew McConaughey. What about you?	My favorite actor is Jennifer Lawrence. And who is your favorite actor?	
request(director)	inform(director)		request(actor)	PR	You seem to have really smart opinions about movies. Who is your favorite actor?	You seem to have a good eye for people. Who is your favorite actor?	I have a feeling you have an amazing choice of favorite actor. So, who is it?	You have such good taste. Who is your favorite actor?		You seem to have great taste in movies. Who's your favorite actor?	Great, and who is your favorite actor?	
request(actor)	inform(actor)		inform(movie)	QESD	Do you think you'll like #MOVIE?	How about watching #MOVIE?	Would you like to watch #MOVIE?	Have you seen #MOVIE? I think you'd like it.	What about #MOVIE?	Do you think you would like #MOVIE?	Do you think you will enjoy #MOVIE?	
request(actor)	inform(actor)		inform(movie)	SD	I think you'll really like the movie #MOVIE. It's one of my favorites. What do you think?	#MOVIE is one of my favorites. Would you be interested in watching it?	I would love to watch #MOVIE. How about you?	I've heard a lot of good things about #MOVIE, I think you'd like it.	This one is one of my favorites. What about #MOVIE?	I liked #MOVIE, I think you might like it too.	I like #MOVIE, and I think you may also like it? What do you think?	
request(actor)	inform(actor)		inform(movie)	PR	I think I have the perfect movie for your excellent tastes. You should try #MOVIE. What do you think?	Seeing how awesomely similar we are, I think you'd really enjoy watching #MOVIE.	Given your refined tastes, I have a feeling that you will like #MOVIE. What do you think?	You've been helpful in all of your input. I think you'd like #MOVIE.		#MOVIE would suit your excellent taste. What do you think?		
request(actor)	inform(actor)		inform(movie)	VSN	You have to watch #MOVIE.	If you don't watch #MOVIE anytime soon, I'm not going to speak to you ever again.	Let's see. Do you think #MOVIE will meet your high expectations?	I think #MOVIE will meet even your standards.	This movie is probably super lame. But you might like #MOVIE.			
inform(movie)	negate	NONE	request(reason_not_like)	SD	I actually enjoyed it. Why don't you like it?	I personally really enjoyed #MOVIE. Why aren't you interested?	Oh, I actually loved it. Why didn't you like it?	I have heard positive reviews about it. What don't you like about it?		It's not one of my super favorites either, but why don't you like it?	That's the best movie I've ever seen, why don't you like it?	
inform(movie)	negate	NONE	request(reason_not_like)	QESD	Why don't you like it?	Why don't you find it interesting?	Why didn't you like it?	What don't you like about it?	Could you tell me why ?	Why don't you like it?		
inform(movie)	negate	NONE	request(reason_not_like)	HE	If you don't mind me asking, why don't you like it?	I guess that's understandable. But can you tell me why you're not interested?	Would it be possible for you to maybe tell me why you didn't like it?	So, could you maybe tell me why you don't like it?	I'm sorry if I'm going overboard here, but could you please tell me why you didn't like the recommendation?	Could you maybe tell me why you don't like it?		
inform(movie)	affirm, negate		request(another_one)	NONE	I could recommend you a different movie if you'd like?	Can I give you another recommendation?	Shall I recommend you another movie?	Would you like another recommendation?	Do you want another one?			
inform(movie)	affirm, negate		request(another_one)	QESD	Would you like me to recommend you a different movie?	Would you like another movie recommendation?	Would you feel better if I recommend you another film?					
inform(movie)	affirm, negate		request(another_one)	PR	That's totally fine! I'll try harder to find another movie to suit your excellent taste, if that's okay with you?	You deserve to watch all the great movies out there. Would you like another recommendation?	If you give me another chance, I can find you a film that would match your great tastes.	You have been great to chat with, can I give you another movie reccomendation?				
inform(movie)	affirm, negate		request(another_one)	SD	I'm really sorry that recommendation didn't work out for you. I'll try again. I'm only a robot, after all.	I have so many other great movies that I think you'd like! Would you like another recommendation?	I want to become even better at this. Shall I find you another film?	I have a few more that I think you'd like, do you want to hear about them?				
inform(movie)	affirm, negate		request(another_one)	HE			Would it be okay if I recommend you another film to watch maybe?	Would you give me the chance to give you another reccomendation?				
inform(movie)	affirm, negate		request(another_one)	VSN		Would you like another amazing recommendation from yours truly?	I'm so good at this job. Shall I recommend you another one?					
inform(movie)	request(movie_info)		inform(movie_info)	NONE	#MOVIE_INFO							
inform(movie)	request(genre)		inform(genre)	NONE	#GENRE							
inform(movie)	request(actor)		inform(actor)	NONE	#ACTOR							
request(reason_not_like)	inform(reason_not_like)		request(another_one)	NONE	I could recommend you a different movie if you'd like?	Can I give you another recommendation?	Shall I recommend you another movie?	Would you like another recommendation?	Do you want another one?			
request(reason_not_like)	inform(reason_not_like)		request(another_one)	QESD	Would you like me to recommend you a different movie?	Would you like another movie recommendation?	Would you feel better if I recommend you another film?					
request(reason_not_like)	inform(reason_not_like)		request(another_one)	PR	That's totally fine! I'll try harder to find another movie to suit your excellent taste, if that's okay with you?	You deserve to watch all the great movies out there. Would you like another recommendation?	If you give me another chance, I can find you a film that would match your great tastes.	You have been great to chat with, can I give you another movie reccomendation?				
request(reason_not_like)	inform(reason_not_like)		request(another_one)	SD	I'm really sorry that recommendation didn't work out for you. I'll try again. I'm only a robot, after all.	I have so many other great movies that I think you'd like! Would you like another recommendation?	I want to become even better at this. Shall I find you another film?	I have a few more that I think you'd like, do you want to hear about them?				
request(reason_not_like)	inform(reason_not_like)		request(another_one)	HE			Would it be okay if I recommend you another film to watch maybe?	Would you give me the chance to give you another reccomendation?				
request(reason_not_like)	inform(reason_not_like)		request(another_one)	VSN		Would you like another amazing recommendation from yours truly?	I'm so good at this job. Shall I recommend you another one?					
request(another_one)	negate		request(feedback)	NONE	Did you like my recommendations?	How was I as your personal movie assisant?	Before you go, could you tell me how I did today?	How did you like talking with me today?	So, before I leave, will you tell me whether I did a good job?			
request(feedback)	inform(feedback)		bye	NONE	Okay, no problem. Feel free to let me know if you ever need a movie recommendation! Bye.	You can always come back later when you want to discuss anything about movies! Bye.	If you ever want a movie recommendation, I'm right here! Have a nice day. Bye.	Feel free to talk to me when you need a movie recommendation, I'll be here. See you soon!	Ok, feel free to come back later if you like. See you, and take care!	Let me know if you want another recommendation in the future. Nice to meet you. Have a nice day.		Feel free to come back if you change your mind. Have a nice day.
