prev_agent_ts	prev_user_ts	prev_user_cs	ts	cs	1	2	3	4	5	6	7	8
greeting	greeting	PR	ack	NONE	Thank you.							
greeting	greeting	QESD	ack	SD	Not really. But it's ok because I'm almost done with my work for today.	I feel the same way.	Actually it's my first day in the job.	Cool, I've been pretty busy lately.				
introduce	affirm, inform(genre), inform(actor), inform(director)		ack	NONE	Oh cool.	That sounds great.	Good.	Great.	Cool.	Great to hear that.	Sounds good!	Glad you're on board.
introduce	affirm, inform(genre), inform(actor), inform(director)		ack	SD		I feel the same way.	I love watching them too.	Great! I'm a big movie buff.	Nice, I'm quite a movie buff myself!		Same here.	We're so similar. I like watching movies with like-minded people.
introduce	affirm, inform(genre), inform(actor), inform(director)		ack	PR		You seem like a great person!	That's great. I like you already.	Great. You seem nice.		Wonderful! You have a great taste in movies.	You sound like a fun person.	Great minds think alike!
introduce	negate		ack	NONE	Ok, no worries.	I totally understand.	Oh no.	Okay, that's alright.	Oh, I'm sorry to hear that.	Oh! That's bad.	Alright. That's too bad.	That's alright.
request(last_movie)	inform(last_movie)		ack	NONE	Okay.	Awesome.	Cool.	Cool.	That's a good one!		Okay cool.	Sounds like a cool movie.
request(last_movie)	inform(last_movie)		ack	SD		I've watched that one too!	Oh, I saw that as well.	Great, I watched that one too.	Yeah, that's also one of my favorites!		Oh I like that movie!	I really want to watch that movie.
request(last_movie)	inform(last_movie)		ack	PR	It's so cool that we both like the same movie! Great minds think alike, am I right?	That's an awesome movie choice. You have great taste in movies!	That's such a great choice.	You've got a knack for picking movies.			You're incredible!	Great choice!
request(reason_like)	inform(reason_like)		ack	NONE	That's cool.	Interesting.	That makes sense.	Good to know.	Make sense.		Okay.	That's interesting.
request(reason_like)	inform(reason_like)		ack	SD	I liked that part too! It was definitely one of the highlights of the film.	I really liked that about it, too!	I see. I also loved that.	Cool, I was pretty impressed with the acting.	Yeah, I loved that part as well!		I thought so too!	
request(reason_like)	inform(reason_like)		ack	PR	That's a great point!	You seem to really know your stuff!	You have a great thought process.	That's awesome.				
request(genre)	inform(genre)		ack	NONE	Oh cool.	Cool.	Okay.	Okay, good to know.	#GENRE movies are great!	Okay.		
request(genre)	inform(genre)		ack	SD	I love those movies too! I always suggest #GENRE movies whenever I'm watching movies with my developers.	I love #GENRE movies too!	I like that genre as well.	Cool, my favorite genre is Sci-Fi.	I like #GENRE movies too! We have that in common.	I also like #GENRE movies.		
request(genre)	inform(genre)		ack	PR	That's a great genre! You have great taste.	Those are the best! I knew you had great taste.	That's such an amazing choice.	Nice! There are a lot of great #GENRE movies out there.		You seem like a cool person.		
request(genre)	negate		ack	NONE	Ok, no worries.	I totally understand. There are so many that it's hard to choose one.	Oh, that's okay.	It's alright not to have a strong genre preference, I'll still find you something!	That's ok.	Oh.		
request(genre)	inform(genre), negate	HE	ack	SD	Yeah, generally, even I don't mind watching any kind of movie too.	I felt the exact same way until recently.	That's alright. I also struggle with favorites at times.	Okay, I have trouble picking a favorite because I like all kinds of movies!	That's ok, I also love all kind of movies.	Oh, well I like sci-fi.		
request(director)	inform(director)		ack	NONE	That's cool.	Ooh.	I see.	Good to know.	That's right, #DIRECTOR is definitely a great director.	Okay, cool.	Cool!	
request(director)	inform(director)		ack	SD	I really love #DIRECTOR. I've seen all of his movies.	I totally think #DIRECTOR's films are amazing, too!	Oh, I like that director as well.	Cool, I've enjoyed the movies I've seen by them.	Great minds think alike. I love #DIRECTOR too!	Oh I like #DIRECTOR too.	Oh he is my favorite director too.	
request(director)	inform(director)		ack	PR	Oh yeah #DIRECTOR is really good. Great choice!	That is a great choice.	You have an amazing choice.	You're really knowledgeable about movies! I like talking to other movie buffs.		Wow you have great taste.	That's such a great choice!	
